coord,delta,obs,lo,hi,null95
T_corr,0.4,-0.00042199808997406003,0.002273721526257299,0.021172724680806703,0.0030325135529026778
T_corr,0.6,0.0030449289094445593,0.004553784522717459,0.022946863111186655,0.002050986745663151
T_corr,0.8,-4.344527168663326e-05,0.005290979260587185,0.01838211606490761,0.0015952542728962782
T_corr,1.0,0.005864900417216861,0.004722306212930301,0.016942983160452563,0.0012897639584838832
T_corr,1.2,0.00804656768778167,0.006997044198908241,0.016825108994192938,0.001376166701430548
T_corr,1.4,0.0066009886666029555,0.00576038280702998,0.016303036765351924,0.0017687461172282135
T_corr,1.6,0.006290326800211337,0.0064895032886747375,0.017876408516366293,0.0012066361801071558
T_corr,1.8,0.012059453459064978,0.007086844112670253,0.019442953225207223,0.0020719788031275154
T_corr,2.0,0.012295177695180159,0.007970857647613273,0.02137739446218185,0.0013681868584135342
T_corr,2.2,0.01382506120879097,0.007892786913183174,0.02219122216059304,0.00162271730564517
T_corr,2.4,0.01445241255705374,0.00935065020677713,0.024553558608763685,0.001693255480695797
T_corr,2.6,0.01668890790154106,0.009736922002696609,0.02773472874963562,0.001267628534406739
T_corr,2.8,0.017129623499296604,0.010922064776761749,0.028120969820759824,0.0014722300650263872
T_corr,3.0,0.017271393553734186,0.012239638541588433,0.03092469796448131,0.0014697801773537092
HDX_corr,0.4,0.005116112222539264,0.004233746051457405,0.02403261844745993,0.0033680820295041323
HDX_corr,0.6,0.00014875534740274127,0.005345902974553484,0.022692891039923335,0.003484646283223868
HDX_corr,0.8,0.005765431709337108,0.005817927649506136,0.02033378630565453,0.0020532201466408272
HDX_corr,1.0,0.01270466564599328,0.005689754121892426,0.021202103476276987,0.0011023038044490644
HDX_corr,1.2,0.004391330338488672,0.005974652259504431,0.02213509591855552,0.001499782188963485
HDX_corr,1.4,0.007946625035828044,0.005837871414929446,0.019148788809744695,0.0015520436614487713
HDX_corr,1.6,0.0072944578897221075,0.004989807700771,0.020145875353360834,0.0015939247081522185
HDX_corr,1.8,0.007421710478284498,0.0056648489602146536,0.01807673528333712,0.0015841697175670167
HDX_corr,2.0,0.012141042158628334,0.006267021335616384,0.019179093007744546,0.0011336566972504603
HDX_corr,2.2,0.012067534368005596,0.007833491691981161,0.0213953070496461,0.001239121733632997
HDX_corr,2.4,0.012893685508205233,0.008178754332844316,0.022374620156597705,0.0015478418193979558
HDX_corr,2.6,0.015836035622620957,0.008770697198799287,0.024725276771229623,0.001705151289303587
HDX_corr,2.8,0.01662820519033823,0.009851600239429409,0.027469292679500934,0.0015385910918508151
HDX_corr,3.0,0.016401281405573384,0.009945553515173164,0.028448787147509574,0.0017990658917551444
T_env,0.4,0.004664804648667169,0.0011508147734885785,0.019738919755989143,0.004635636632630174
T_env,0.6,0.010705005726666826,0.005522202336887083,0.019757484833435895,0.0017936501173319503
T_env,0.8,0.013491259862455723,0.008029315081371,0.02335864667859468,0.0007743451324335767
T_env,1.0,0.020200358732750206,0.010989256111381808,0.02841888044941084,0.0011022754681332863
T_env,1.2,0.03192493097167548,0.016353680804900753,0.03382114622779723,0.001097048022018944
T_env,1.4,0.021909987296396986,0.020570222771604422,0.03746188722720902,0.0010340199281596938
T_env,1.6,0.028185420886722767,0.023840543610706016,0.03689975704877731,0.0019264099193653066
T_env,1.8,0.03315612963582633,0.027645795513210572,0.04470212127747397,0.0013024052855668984
T_env,2.0,0.04053867855189959,0.031330502898578486,0.050041027057813305,0.0016613599334384626
T_env,2.2,0.04449995704313428,0.03788699317605545,0.05555726635343573,0.0013686011611335673
T_env,2.4,0.04892809050609852,0.04294447266494571,0.0647206442387967,0.0016609895146012393
T_env,2.6,0.05913184329638481,0.04621266917016723,0.07174224150184252,0.0017491076991812916
T_env,2.8,0.06871442074219825,0.05046313730370276,0.07939054594777031,0.001794188067944906
T_env,3.0,0.06498871653743929,0.05452857159319039,0.0838202858793188,0.0019181477472104893
