coordinate,bin_lo,bin_hi,T_center,n,P_C,P_N,P_U,P_C_lo,P_C_hi,P_N_lo,P_N_hi,P_U_lo,P_U_hi,m,q,beta_h,beta_D
T_corr,21.0,22.0,21.5,23,0.6087,0.3478,0.0435,0.4079,0.7784,0.1881,0.5511,0.0077,0.2099,-0.5652,0.6522,-1.3195,0.7599
T_corr,22.0,23.0,22.5,61,0.5082,0.3607,0.1311,0.386,0.6294,0.2517,0.4861,0.068,0.238,-0.377,0.6393,-0.6773,0.3343
T_corr,23.0,24.0,23.5,133,0.5489,0.2481,0.203,0.4641,0.6309,0.1825,0.3279,0.1434,0.2793,-0.3459,0.7519,-0.4973,-0.2966
T_corr,24.0,25.0,24.5,71,0.4507,0.3239,0.2254,0.3405,0.566,0.2266,0.4394,0.1437,0.3352,-0.2254,0.6761,-0.3466,0.0163
T_corr,25.0,26.0,25.5,74,0.5541,0.2162,0.2297,0.4409,0.6618,0.1377,0.3227,0.1487,0.3375,-0.3243,0.7838,-0.4402,-0.5008
T_corr,26.0,27.0,26.5,177,0.4068,0.3616,0.2316,0.3371,0.4804,0.2944,0.4346,0.1756,0.2991,-0.1751,0.6384,-0.2815,0.1638
T_corr,27.0,28.0,27.5,178,0.382,0.309,0.309,0.3138,0.4552,0.2457,0.3803,0.2457,0.3803,-0.073,0.691,-0.1061,-0.1061
T_corr,28.0,29.0,28.5,341,0.3607,0.261,0.3783,0.3115,0.413,0.2172,0.3101,0.3285,0.4309,0.0176,0.739,0.0238,-0.3474
T_corr,29.0,30.0,29.5,398,0.407,0.2688,0.3241,0.3599,0.456,0.2276,0.3145,0.28,0.3716,-0.0829,0.7312,-0.1139,-0.3009
T_corr,30.0,31.0,30.5,204,0.299,0.2794,0.4216,0.2404,0.3651,0.2223,0.3446,0.3559,0.4902,0.1225,0.7206,0.1717,-0.2396
T_corr,31.0,32.0,31.5,85,0.2118,0.2941,0.4941,0.1384,0.3101,0.2079,0.3982,0.3904,0.5983,0.2824,0.7059,0.4236,-0.0951
T_corr,32.0,33.0,32.5,92,0.2935,0.087,0.6196,0.2102,0.3933,0.0447,0.1623,0.5175,0.7121,0.3261,0.913,0.3736,-1.59
T_corr,33.0,34.0,33.5,18,0.1111,0.3889,0.5,0.031,0.328,0.203,0.6138,0.2903,0.7097,0.3889,0.6111,0.752,0.5007
