coordinate,k,n,LL,BIC,dG_from_previous,breakpoints,selected_k
T_corr,1,1855,-2020.0262394212107,4055.1037587925043,,,3
T_corr,2,1855,-1985.957482430369,4009.543164735946,68.13751398168324,30.159,3
T_corr,3,1855,-1964.9844957796888,3990.17411135971,41.94597330136048,"26.096, 30.766",3
T_corr,4,1855,-1959.8340813857617,4002.45020249698,10.300828787854243,"23.421, 26.096, 30.766",3
T_corr,5,1855,-1952.8077300305613,4010.9744197117043,14.052702710400808,"26.096, 28.771, 28.887, 30.766",3
HDX_corr,1,1855,-2020.0262394212107,4055.1037587925043,,,3
HDX_corr,2,1855,-1989.2211273353591,4016.070454545926,61.61022417170307,32.576,3
HDX_corr,3,1855,-1978.449877034178,4017.104873868688,21.542500602362452,"32.576, 37.738",3
HDX_corr,4,1855,-1972.5435441229984,4027.8691279714535,11.812665822359122,"32.576, 36.904, 37.149",3
HDX_corr,5,1855,-1968.7091828539742,4042.77732535853,7.668722538048314,"32.576, 39.752, 39.979, 40.294",3
T_env,1,1855,-2020.0262394212107,4055.1037587925043,,,3
T_env,2,1855,-1924.491898845872,3886.6119975669517,191.06868115067755,24.617,3
T_env,3,1855,-1881.0309906572393,3822.267101114811,86.92181637726526,"24.617, 30.832",3
T_env,4,1855,-1869.284099889422,3821.3502395043006,23.493781535634753,"24.617, 28.958, 30.832",3
T_env,5,1855,-1861.752118074581,3828.8631957997436,15.063963629681894,"22.771, 24.617, 28.958, 30.832",3
